PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Ord. Off. Phone,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
4500130856,Part 239,549,0,549,549,2025-12-05 23:59:59,2025-12-05 23:59:59,OPEN,W45- 549 pcs shipped. UPS Tracking 1ZH40D686641008385,"W46 - Need CoC + PL + Credit note - Y1 401094910 since Oct 23rd,",10,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,SLEEVE,PCE,false,false,false,MEDIUM,4042,2000,888,MD114,,DAP,NOS USINES,9.08,USD,1,PCE,4984.92,0,549,true,2025-09-18 00:00:00,2025-11-26 10:49:11,TURBO,Supplier 3,16
4500130856,Part 239,1902,0,1902,1902,2026-01-31 23:59:59,2026-01-31 23:59:59,OPEN,W48- 847 pcs under JKMGAL Stock.  1055 pcs Under Final Inspection rework,W46 - Not received,10,12,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,SLEEVE,PCE,false,false,false,MEDIUM,4042,2000,888,MD114,,DAP,NOS USINES,9.08,USD,1,PCE,17270.16,0,1902,true,2025-10-14 00:00:00,2025-11-29 10:57:07,TURBO,Supplier 3,10
PL00019152,Part 240,352,0,352,352,2025-12-15 23:59:59,2025-12-15 23:59:59,OPEN,W48- 352 pcs JKMGAL Stock,"W47 - You can ship all Maini stock you have, we will accept.",10,70,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,,BAGUE,PCE,false,false,false,MEDIUM,4041,2000,SC7,MD114,5100019152,DAP,NOS USINES,,USD,1,PCE,,0,352,true,2025-09-29 00:00:00,2025-12-01 03:28:00,TURBO,Supplier 3,5
5900037801,Part 241,33,0,33,33,2026-01-17 23:59:59,2026-01-17 23:59:59,OPEN,W48- Under M/C,⏩W49 - Can be moved to Jan -  I3 ✔ Jan 17th for first batch,20,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,BOSSAGE,PCE,false,false,false,MEDIUM,4042,2000,888,MD123,,DAP,NOS USINES,117.34,USD,1,PCE,3872.22,0,33,true,2025-02-19 00:00:00,2025-11-26 13:40:08,TURBO,Supplier 3,50
