PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
5900040533,Part 231,1,0,1,1,2025-12-22 23:59:59,2025-12-22 23:59:59,OPEN,❌W49- Pls cancel line. 1 pc  added to next demand line,W47 -🔺💲PENALTY  Ultimate need is Nov 27th so be careful,30,18,false,OTHER,Customer S 2,Customer S 2,4000,Mail ID 1,UNION,PCE,false,false,false,MEDIUM,4041,2000,888,MD123,DAP,NOS USINES,89.91,USD,1,PCE,89.91,0,1,true,2025-12-02 00:00:00,2025-12-03 09:41:13,TURBO,Supplier 3,40
5900040533,Part 231,80,0,80,80,2025-12-31 23:59:59,2026-02-27 23:59:59,OPEN,W47- RM Ordered ETA End Dec (Old Batch rejected),W47 -🔺 💲PENALTY,40,10,false,OTHER,Customer S 2,Customer S 2,4000,Mail ID 1,UNION,PCE,false,false,false,MEDIUM,4041,2000,888,MD123,DAP,NOS USINES,89.91,USD,1,PCE,7192.8,0,80,true,2024-06-28 00:00:00,2025-12-03 09:41:13,TURBO,Supplier 3,15
