PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Currency,Price Unit,Price unit of measure,Shipped Quantity,Remaining Quantity to be Received,Last GR No.,Last GR Date,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
PL00016704,Part 208,500,0,500,500,2026-03-05 23:59:59,2026-03-05 23:59:59,NEW ORDER PUBLISHED,,,10,190,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUSH,PCE,false,false,false,MEDIUM,4042,2000,SC3,MD114,5100016704,DAP,NOS USINES,USD,1,PCE,0,500,,,true,2025-11-10 00:00:00,2025-12-01 14:58:20,TURBO,Supplier 3,2
PL00016703,Part 209,400,0,400,400,2025-11-29 23:59:59,2025-12-05 23:59:59,OPEN,✅W49- Shipped FedEx AWB 3959 9597 8120,W48 -💲 PENALTY ( Nov Commitment),10,130,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUSH,PCE,false,false,false,MEDIUM,4042,2000,SC3,MD114,5100016703,DAP,NOS USINES,USD,1,PCE,0,400,,,true,2025-08-04 00:00:00,2025-12-02 08:04:41,TURBO,Supplier 3,6
PL00016703,Part 209,400,0,400,400,2026-01-09 23:59:59,2026-01-09 23:59:59,OPEN,W45- Under JKMGAL Stock. Can we ship on W46?,,10,140,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUSH,PCE,false,false,false,MEDIUM,4042,2000,SC3,MD114,5100016703,DAP,NOS USINES,USD,1,PCE,0,400,,,true,2025-09-29 00:00:00,2025-12-01 03:48:37,TURBO,Supplier 3,4
PL00017116,Part 210,42,0,42,42,2025-11-17 23:59:59,2026-01-05 23:59:59,OPEN,"W49- Under Silver Plating-W50  (Delay at Sheen, Not Expediting, RM Delay)","W48 - 💲PENALTY - At sheen, late => to escalate with SHE",10,303,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,CHANDELLE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100017116,DAP,NOS USINES,USD,1,PCE,0,42,,,true,2025-10-14 00:00:00,2025-12-02 08:52:53,TURBO,Supplier 3,24
PL00017116,Part 210,400,0,400,400,2025-12-01 23:59:59,2026-03-14 23:59:59,OPEN,W49- Under Silver Plating- 100 pcs-W50. Balance 300 pc- RM Delay- ETA: Jan 2026,"W47 - 💲PENALTY 💥RM delay, please challenge RM Supplier, Need date is in December 25",10,270,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,CHANDELLE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100017116,DAP,NOS USINES,USD,1,PCE,0,400,,,true,2024-09-09 00:00:00,2025-12-02 09:26:37,TURBO,Supplier 3,12
PL00017116,Part 210,400,0,400,400,2026-03-14 23:59:59,2026-03-14 23:59:59,OPEN,W43- RM Delay- ETA: Jan 2026,W49 - Need is Mid January,10,280,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,CHANDELLE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100017116,DAP,NOS USINES,USD,1,PCE,0,400,,,true,2024-10-07 00:00:00,2025-12-01 03:47:53,TURBO,Supplier 3,8
PL00017116,Part 210,133,0,133,133,2026-03-14 23:59:59,2026-03-14 23:59:59,OPEN,W43- RM Delay- ETA: Jan 2026,W49 - Need is Beginning of March,10,289,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,CHANDELLE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100017116,DAP,NOS USINES,USD,1,PCE,0,133,,,true,2025-02-14 00:00:00,2025-12-01 03:47:53,TURBO,Supplier 3,24
PL00018561,Part 211,8,0,8,8,2025-11-30 23:59:59,2025-12-05 23:59:59,OPEN,✅W49- Shipped FedEx AWB 3959 9681 1693,W48 - 💲PENALTY (Nov Commitment),10,83,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,FLANGE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD144,5100018561,DAP,NOS USINES,USD,1,PCE,0,8,80036790,2025-10-23 11:09:43,true,2025-11-10 00:00:00,2025-12-02 08:05:21,TURBO,Supplier 3,18
PL00018561,Part 211,150,0,150,150,2026-01-14 23:59:59,2026-01-14 23:59:59,OPEN,W40- RM In transit ETA: End of Oct 2025,,10,80,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,FLANGE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD144,5100018561,DAP,NOS USINES,USD,1,PCE,0,150,,,true,2025-09-15 00:00:00,2025-12-01 10:18:39,TURBO,Supplier 3,2
