PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Ord. Off. Phone,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
5900041698,Part 232,15,0,15,15,2026-01-07 23:59:59,2026-01-07 23:59:59,OPEN,W48- Under M/C,W46 - Need beginning of January => can we merge the 2 orders?,20,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,PIN,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,19.64,USD,1,PCE,294.6,0,15,true,2025-04-16 00:00:00,2025-11-26 13:29:42,TURBO,Supplier 3,21
PL00019476,Part 232,600,0,600,600,2026-01-07 23:59:59,2026-01-07 23:59:59,OPEN, W48- Under M/C,W46 - Need beginning of January => can we merge the 2 orders?,10,10,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,PIN,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD114,5100019476,DAP,NOS USINES,,USD,1,PCE,,0,600,true,2025-08-25 00:00:00,2025-12-01 03:45:41,TURBO,Supplier 3,7
5900040537,Part 234,50,0,50,50,2025-12-03 23:59:59,2025-12-03 23:59:59,OPEN,✅W42- Shipped. UPS AWB- 1ZH40D686641021673,W45 - At Bordes Y1QUAL 401094944 (since Oct 23rd) - will be accpeted,30,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,SCREW JACK,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,79.2,USD,1,PCE,3960,0,50,true,2024-06-28 00:00:00,2025-11-26 10:49:08,TURBO,Supplier 3,28
5900040537,Part 234,50,0,50,50,2025-12-03 23:59:59,2025-12-03 23:59:59,OPEN,✅W42- Shipped. UPS AWB- 1ZH40D686641021673,W45 - At Bordes Y1QUAL 401094944 (since Oct 23rd) - will be accpeted,40,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,,SCREW JACK,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,DAP,NOS USINES,79.2,USD,1,PCE,3960,0,50,true,2024-06-28 00:00:00,2025-11-26 10:49:08,TURBO,Supplier 3,26
4500130860,Part 235,140,0,140,140,2026-01-31 23:59:59,2026-01-31 23:59:59,OPEN,W48- I3 Validated W44. Under M/C First Batch Prove Out,W48 -  Check at INCORA Shipment -   Additionnal demand validated by MAINI W18,10,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,ENSEMBLE COUVERCLE,PCE,false,false,false,MEDIUM,4043,2000,888,MD124,,DAP,NOS USINES,54.81,USD,1,PCE,7673.4,0,140,true,2025-05-19 00:00:00,2025-11-26 11:01:12,TURBO,Supplier 3,8
5900041697,Part 236,18,0,18,18,2025-12-01 23:59:59,2026-01-30 23:59:59,OPEN,W47- Under M/C,W47 - 💲PENALTY,20,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,ECROU,PCE,false,false,false,MEDIUM,4043,2000,888,MD114,,DAP,NOS USINES,37.96,USD,1,PCE,683.28,0,18,true,2025-04-17 00:00:00,2025-11-21 13:53:25,TURBO,Supplier 3,24
5900041697,Part 236,32,0,32,32,2026-01-12 23:59:59,2026-01-12 23:59:59,OPEN,✅Shipped-  AWB_287730232835,"W47 -❌ Parts shipped back to Maini June 25, not seen during our visit => propose to cancel this order",20,10,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,ECROU,PCE,false,false,false,MEDIUM,4043,2000,888,MD114,,DAP,NOS USINES,37.96,USD,1,PCE,1214.72,0,32,true,2024-08-06 00:00:00,2025-10-24 10:00:44,TURBO,Supplier 3,28
