PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
5900040535,Part 215,50,0,50,50,2025-12-01 23:59:59,2026-01-31 23:59:59,OPEN,W47- 70 pcs under Rough M/C (New Batch),W47 - 💲PENALTY,40,11,false,OTHER,,Customer S 2,Customer S 2,4000,Mail ID 1,SPACER,PCE,false,false,false,MEDIUM,4041,2000,888,MD144,,DAP,NOS USINES,77.86,USD,1,PCE,3893,0,50,true,2025-11-20 00:00:00,2025-11-26 10:49:09,TURBO,Supplier 3,42
PL00019477,Part 215,60,0,60,60,2026-02-06 23:59:59,2026-02-06 23:59:59,OPEN,W43- RM Ordered,,10,10,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,SPACER,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100019477,DAP,NOS USINES,,USD,1,PCE,,0,60,true,2025-10-14 00:00:00,2025-12-01 03:45:07,TURBO,Supplier 3,2
PL00016873,Part 216,200,0,200,200,2025-11-30 23:59:59,2025-12-05 23:59:59,OPEN,✅W49- Shipped FedEx AWB 3959 9681 1693,W48 - 💲PENALTY (was in Nov commitment),10,430,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUSH,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100016873,DAP,NOS USINES,,USD,1,PCE,,0,200,true,2025-07-14 00:00:00,2025-12-02 08:08:38,TURBO,Supplier 3,6
PL00016873,Part 216,200,0,200,200,2025-12-24 23:59:59,2025-12-24 23:59:59,OPEN,✅W49- Shipped FedEx AWB 3959 9681 1693,Shipped,10,440,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUSH,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100016873,DAP,NOS USINES,,USD,1,PCE,,0,200,true,2025-08-25 00:00:00,2025-12-02 08:08:38,TURBO,Supplier 3,2
PL00016873,Part 216,200,0,200,200,2026-01-22 23:59:59,2026-01-22 23:59:59,OPEN,W43- Under Final M/C,,10,450,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUSH,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100016873,DAP,NOS USINES,,USD,1,PCE,,0,200,true,2025-09-22 00:00:00,2025-12-01 03:48:01,TURBO,Supplier 3,2
PL00016873,Part 216,200,0,200,200,2026-02-12 23:59:59,2026-02-12 23:59:59,OPEN,W43- Under Final M/C,,10,460,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUSH,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100016873,DAP,NOS USINES,,USD,1,PCE,,0,200,true,2025-10-13 00:00:00,2025-12-01 03:48:01,TURBO,Supplier 3,2
