PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Currency,Price Unit,Price unit of measure,Shipped Quantity,Remaining Quantity to be Received,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
PL00018557,Part 198,80,0,80,80,2025-11-28 23:59:59,2025-12-05 23:59:59,OPEN,✅ W49 - Shipped. FedEx AWB 3959 9681 1693,🔺W48 -💲PENALTY - still not at Bordes Dec 2nd!,10,90,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,FCU ADAPTER,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD144,5100018557,DAP,NOS USINES,USD,1,PCE,0,80,true,2024-10-21 00:00:00,2025-12-02 08:00:10,TURBO,Supplier 3,20
PL00018557,Part 198,43,0,43,43,2025-12-05 23:59:59,2025-12-05 23:59:59,OPEN,✅ W49 - Shipped. FedEx AWB 3959 9681 1693,🔺W48 -💲PENALTY - still not at Bordes Dec 2nd!,10,100,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,FCU ADAPTER,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD144,5100018557,DAP,NOS USINES,USD,1,PCE,0,43,true,2024-10-28 00:00:00,2025-12-02 14:18:59,TURBO,Supplier 3,8
PL00018557,Part 198,10,0,10,10,2025-12-15 23:59:59,2025-12-15 23:59:59,OPEN,W49- Under Final Inspection,🔺W48 -💲PENALTY - still not at Bordes Dec 2nd!,10,112,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,FCU ADAPTER,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD144,5100018557,DAP,NOS USINES,USD,1,PCE,0,10,true,2024-10-28 00:00:00,2025-12-02 14:19:04,TURBO,Supplier 3,8
PL00018557,Part 198,27,0,27,27,2026-01-08 23:59:59,2026-01-08 23:59:59,OPEN,W47- RM Ordered,W12 - 📉 Need date modified,10,111,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,FCU ADAPTER,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD144,5100018557,DAP,NOS USINES,USD,1,PCE,0,27,true,2025-11-18 00:00:00,2025-12-01 03:50:09,TURBO,Supplier 3,5
