PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,Last GR No.,Last GR Date,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
PL00016702,Part 203,90,0,90,90,2025-11-19 23:59:59,2025-12-15 23:59:59,OPEN,W49- 95 pcs under Final Inspection.,W48- 💲PENALTY 🔺DR raised Nov 26th,10,160,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,ENTRETOISE,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD114,5100016702,DAP,NOS USINES,,USD,1,PCE,,0,90,,,true,2024-11-04 00:00:00,2025-12-02 08:52:07,TURBO,Supplier 3,16
PL00016702,Part 203,32,0,32,32,2025-12-10 23:59:59,2025-12-15 23:59:59,OPEN,W49- 32 pcs Shipped,W46 - 🔺💲PENALTY - DR,10,180,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,ENTRETOISE,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD114,5100016702,DAP,NOS USINES,,USD,1,PCE,,0,32,,,true,2025-11-26 00:00:00,2025-12-04 06:28:08,TURBO,Supplier 3,23
PL00016702,Part 203,163,0,163,163,2025-12-15 23:59:59,2026-01-16 23:59:59,OPEN,"W49- Under Turning -  (ID Grind, NDT, FI)",🟠W46 - 🔺💲PENALTY - How many parts to commit in Dec ?,10,179,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,ENTRETOISE,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD114,5100016702,DAP,NOS USINES,,USD,1,PCE,,0,163,,,true,2025-11-25 00:00:00,2025-12-02 08:51:43,TURBO,Supplier 3,14
PL00016702,Part 203,1,0,1,1,2026-01-05 23:59:59,2026-01-05 23:59:59,OPEN,"W42- 1 pc returning back to JKMGAL ✅W27- 61 pcs shipped on 4th July, AWB- 3906 8564 8610",W40 - 📦Joanne to check if really sent back to Maini,10,176,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,ENTRETOISE,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD114,5100016702,DAP,NOS USINES,,USD,1,PCE,,0,1,0004300354,2025-09-29 16:40:43,true,2025-10-01 00:00:00,2025-12-01 03:48:51,TURBO,Supplier 3,24
4700020373,Part 203,5,0,5,5,2026-02-16 23:59:59,2026-02-16 23:59:59,OPEN,W42- Need to check with Joanne for 47 order,W41 - to analyze - Joanne,20,10,false,OTHER,Return,Customer S 2,Customer S 2,4000,Mail ID 1,ENTRETOISE,PCE,false,false,false,MEDIUM,4041,2000,888,MD114,,FCA,Départ usine,51.59,EUR,1,PCE,257.95,0,5,,,true,2025-05-23 00:00:00,2025-10-14 09:30:39,TURBO,Supplier 3,2
PL00016706,Part 204,133,0,133,133,2025-11-17 23:59:59,2025-12-05 23:59:59,OPEN,✅W49- Shipped FedEx AWB 3959 9622 1345,W47 - 💲OTD PENALTY,10,201,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUTEE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100016706,DAP,NOS USINES,,USD,1,PCE,,0,133,,,true,2025-10-13 00:00:00,2025-12-02 08:03:35,TURBO,Supplier 3,16
PL00016706,Part 204,58,0,58,58,2025-12-08 23:59:59,2025-12-08 23:59:59,OPEN,✅W49- Shipped FedEx AWB 3959 9622 1345,W47 - To keep in December,10,190,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,BUTEE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100016706,DAP,NOS USINES,,USD,1,PCE,,0,58,,,true,2025-07-28 00:00:00,2025-12-02 08:03:35,TURBO,Supplier 3,4
