PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Sub-Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Ord. Off. Phone,Ord. Off. E-mail,Supplier Planner Code,Customer Material Description,International standard norm,Plan or drawing reference,Alternative part,Material/plan index,Engineering data link URL/FTP,Engineering requirement,DPD (Digital Product Definition) requirement,Manufacturing requirements,TDP / Additional references,PO Line Desc.,Supplier Material Number,Supplier Material Description,Buying Commodity,Buying Sub-Commodity,Unit of Measure,Priority,Kit Header,Kit Component,Kit changed,Pgm. / MSN,Config. Standard,Config. Version/Rank,Config. Option,Elementary Delivery Site,Final Delivery Location,Fitting Place,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Price,Currency,Price Unit,Price unit of measure,Total Line Amount,Shipped Quantity,Remaining Quantity to be Received,Last GR No.,Last GR Date,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
PO_PoNumber,MATERIAL_CUSTOMER_NUMBER,PO_CollabReqQty,PO_ReceivedQty,PO_RemainShippedQty,PO_CollabPromQty,PO_CollabReqDate,PO_CollabPromDate,PO_Status,PO_CollabComment,PO_CustomerComment,PO_PosNumber,PO_RequestNumber,PO_IsP2pActive,PO_OrderType,PO_OrderSubType,PO_DocType,PARTNER_RELATION_CUSTOMER_GROUPNAME,PARTNER_RELATION_CUSTOMER_ORGCODE,PARTNER_RELATION_CUSTOMER_PLANTCODE,ORDERING_OFFICER_NAME,ORDERING_OFFICER_PHONE,ORDERING_OFFICER_EMAIL,MATERIAL_SUPPLIER_PLANNER_CODE,MATERIAL_CUSTOMER_DESC,PO_INTERNATIONAL_STANDARD_NORM,PO_PLAN_OR_DRAWING_REFERENCE,PO_ALTERNATIVE_PART,PO_MATERIAL_OR_PLAN_INDEX,PO_ENGINEERING_DATA_LINK_URL_FTP,PO_ENGINEERING_REQUIREMENT,PO_DIGITAL_PRODUCT_DEFINITION_REQUIREMENT,PO_MANUFACTURING_REQUIREMENTS,PO_ADDITIONAL_REFERENCE_OR_REQUIREMENTS,PO_LineDescr,MATERIAL_SUPPLIER_NUMBER,MATERIAL_SUPPLIER_DESC,MATERIAL_COMMODITY,MATERIAL_SUBCOMMODITY,PO_UnitOfMeasure,PO_SparesPrio,PO_KitHeader,PO_KitComponent,PO_KitChanged,PO_MSN,PO_ConfigStandard,PO_ConfigVersion,PO_ConfigOption,PO_ElemDelvSite,PO_FinalLocation,PO_FitPlace,PO_PurchaseOrg,PO_PurchaseGroup,PO_CommodityGroup,PO_ContractNumber,PO_LineIncoterm,PO_LineIncotermDesc,PO_CollabPrice,PO_lineCurrency,PO_BaseOfUnit,PO_PriceUnitMeasure,PO_RequestedAmount,PO_ShippedQty,PO_RemainReceivedQty,PO_LastGRNumber,PO_LastGRDate,PO_HeaderTextPresent,PO_LineErpDate,PO_LineLastMod,PARTNER_RELATION_CUSTOMER_GROUPCODE,PARTNER_RELATION_SUPPLIER_NO,PO_UpdateVersion
4500130859,Part 193,1924,0,1924,1924,2026-01-02 23:59:59,2026-01-02 23:59:59,OPEN,W48-2048 pcs under JKMGAL Stock. Can we ship early?,W24 - For 2026 -  Additionnal demand validated by MAINI W18,10,11,false,OTHER,,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,,,RIVET,,,,,,,,,,,,,,,PCE,,false,false,false,,,,MEDIUM,,4042,,2000,888,MD116,,DAP,NOS USINES,15.98,USD,1,PCE,30745.52,0,1924,,,true,2025-07-29 00:00:00,2025-11-29 10:55:16,TURBO,Supplier 3,5
5900041339,Part 194,38,0,38,38,2025-11-28 23:59:59,2025-12-08 23:59:59,OPEN,W45- Check with Joanne on return parts.✅Shipped- AWB 286298473193,W48 - PENALTY🔺 Please modify marking ASAP and return -  38 parts available at Maini W39📦 Y1QUAL 401048314,30,10,false,OTHER,,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,,,RONDELLE DE SERRAGE,,,,,,,,,,,,,,,PCE,,false,false,false,,,,MEDIUM,,4043,,2000,888,MD1146,,DAP,NOS USINES,11.3,USD,1,PCE,429.4,0,38,,,true,2024-07-02 00:00:00,2025-11-26 10:59:05,TURBO,Supplier 3,53
5900041339,Part 194,12,0,12,12,2025-11-29 23:59:59,2026-01-31 23:59:59,OPEN,W47- First Bulk Prove Out Delay. Under M/C ,W47 - 💲PENALTY,30,11,false,OTHER,,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,,,RONDELLE DE SERRAGE,,,,,,,,,,,,,,,PCE,,false,false,false,,,,MEDIUM,,4043,,2000,888,MD1146,,DAP,NOS USINES,11.3,USD,1,PCE,135.6,0,12,,,true,2025-03-10 00:00:00,2025-11-26 10:59:05,TURBO,Supplier 3,28
5900041339,Part 194,100,0,100,100,2025-11-29 23:59:59,2026-01-30 23:59:59,OPEN,W40- JKMGAL enquiring on RM,W47 - 💲PENALTY - please accept Cust & put back Jan 30st,70,10,false,OTHER,,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,,,RONDELLE DE SERRAGE,,,,,,,,,,,,,,,PCE,,false,false,false,,,,MEDIUM,,4043,,2000,888,MD1146,,DAP,NOS USINES,11.3,USD,1,PCE,1130,0,100,,,true,2025-05-06 00:00:00,2025-11-26 13:50:57,TURBO,Supplier 3,17
5900041339,Part 194,100,0,100,100,2026-01-31 23:59:59,2026-01-31 23:59:59,OPEN,W47- First Bulk Prove Out Delay. Under M/C ,W48 - Ok fo Jan - Cust request to accept,60,10,false,OTHER,,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,,,RONDELLE DE SERRAGE,,,,,,,,,,,,,,,PCE,,false,false,false,,,,MEDIUM,,4043,,2000,888,MD1146,,DAP,NOS USINES,11.3,USD,1,PCE,1130,0,100,,,true,2025-05-06 00:00:00,2025-11-26 13:50:49,TURBO,Supplier 3,19
4500130858,Part 194,300,0,300,300,2026-02-10 23:59:59,2026-02-10 23:59:59,OPEN,W40- JKMGAL enquiring on RM,W27 - for information and right priorities to give to MAINI,10,10,false,OTHER,,,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,,,RONDELLE DE SERRAGE,,,,,,,,,,,,,,,PCE,,false,false,false,,,,MEDIUM,,4043,,2000,888,MD1146,,DAP,NOS USINES,19.52,USD,1,PCE,5856,0,300,,,true,2025-05-19 00:00:00,2025-10-01 08:29:02,TURBO,Supplier 3,5
