PO,Customer Material Number,Requested quantity,Received Quantity,Remaining Quantity to be Shipped,Promised quantity,Requested date,Promised date,Status,Supplier Comment,Customer Comment,PO Line,PO SL,P2P Active,PO Type,PO Document type,Cust. Group,Cust. Org.,ERP Plant,Ord. Off. Name,Ord. Off. Phone,Customer Material Description,Unit of Measure,Kit Header,Kit Component,Kit changed,Config. Option,Final Delivery Location,Purchasing Organization,Purchasing Group,Commodity Group,Contract Number,Line Incoterm,Line Incoterm Description,Currency,Price Unit,Price unit of measure,Shipped Quantity,Remaining Quantity to be Received,PO Header Text Present,PO SL Creation Date,PO SL Last Mod. Date,Customer Group Short Name,Supp. No.,Update Version
PL00019248,Part 199,150,0,150,150,2026-02-24 23:59:59,2026-02-24 23:59:59,NEW ORDER PUBLISHED,,,10,20,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,FRETTE,PCE,false,false,false,MEDIUM,4041,2000,SC7,MD114,5100019248,DAP,NOS USINES,USD,1,PCE,0,150,true,2025-12-01 00:00:00,2025-12-01 14:58:16,TURBO,Supplier 3,1
PL00019519,Part 201,100,0,100,100,2026-01-23 23:59:59,2026-01-23 23:59:59,OPEN,W48- 126 pcs under JKMGAL Stock. Can we ship early?,,10,10,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,+33447799001,EXCHANGER,PCE,false,false,false,MEDIUM,4041,2000,ST3,MD144,5100019519,DAP,NOS USINES,USD,1,PCE,0,100,true,2025-10-27 00:00:00,2025-12-01 02:37:15,TURBO,Supplier 3,2
PL00018556,Part 202,58,0,58,58,2026-01-05 23:59:59,2026-01-05 23:59:59,OPEN,W43 -58 pcs under M/C,W24 - 📉,10,61,false,CALLUP,Call-up,Customer S 2,Customer S 2,4000,Mail ID 1,,BAGUE DE RETENUE,PCE,false,false,false,MEDIUM,4041,2000,SC3,MD114,5100018556,DAP,NOS USINES,USD,1,PCE,0,58,true,2025-10-14 00:00:00,2025-12-01 03:47:46,TURBO,Supplier 3,5
